grant_number,hc_name,hc_type,hq_city,hq_state,hq_zip,operator_type,site_count,active_sites,county_count
H80CS04435,"MAT-SU HEALTH SERVICES, INC.",Federally Qualified Health Center (FQHC),Wasilla,AK,99654,"Corporate Entity, Federal Tax Exempt",4,4,1
H80CS24200,Tuba City Regional Health Care Corporation,Federally Qualified Health Center (FQHC),Tuba City,AZ,86045,"Corporate Entity, Federal Tax Exempt",5,5,1
H80CS08752,LAKELAND IMMEDIATE CARE CENTER,Federally Qualified Health Center (FQHC),Cassopolis,MI,49031-1034,"Corporate Entity, Federal Tax Exempt",5,5,2
H80CS00305,"I.M. SULZBACHER CENTER FOR THE HOMELESS, INC",Federally Qualified Health Center (FQHC),Jacksonville,FL,32202-2847,Other,5,5,1
H80CS00637,CENTRO SAN VICENTE,Federally Qualified Health Center (FQHC),El Paso,TX,79915-4705,"Corporate Entity, Federal Tax Exempt",5,5,1
H80CS00395,MATTAPAN COMMUNITY HEALTH CENTER INC,Federally Qualified Health Center (FQHC),Mattapan,MA,02126-2122,"Corporate Entity, Federal Tax Exempt",2,2,1
H80CS00120,"Friend Family Health Center, Inc.",Federally Qualified Health Center (FQHC),Chicago,IL,60615-4906,"Corporate Entity, Federal Tax Exempt",7,7,1
LALCS47396,"SMA HEALTHCARE, INC",Federally Qualified Health Center (FQHC) Look-Alike,DAYTONA BEACH,FL,32114,NA,5,5,2
LALCS40173,BUDDHIST TZU CHI MEDICAL FOUNDATION,Federally Qualified Health Center (FQHC) Look-Alike,EL MONTE,CA,91731,NA,7,7,1
H80CS02319,SAN DIEGO FAMILY CARE,Federally Qualified Health Center (FQHC),San Diego,CA,92111-6342,"Corporate Entity, Federal Tax Exempt",8,8,1
H80CS00052,CHILDREN'S HOSPITAL & RESEARCH CENTER AT OAKLAND,Federally Qualified Health Center (FQHC),Oakland,CA,94609-1859,"Corporate Entity, Federal Tax Exempt",8,8,1
H80CS29023,WINDING WATERS MEDICAL CLINIC,Federally Qualified Health Center (FQHC),Enterprise,OR,97828-5124,"Corporate Entity, Federal Tax Exempt",6,6,1
H80CS00580,"DR. ARENIA C. MALLORY COMMUNITY HEALTH CENTER, INC.",Federally Qualified Health Center (FQHC),Lexington,MS,39095-6614,"Corporate Entity, Federal Tax Exempt",8,8,3
H80CS33650,"SOUTHERN INDIANA COMMUNITY HEALTH CARE, INC",Federally Qualified Health Center (FQHC),Paoli,IN,47454-8802,"Corporate Entity, Federal Tax Exempt",8,8,3
H80CS06648,IMPERIAL BEACH COMMUNITY CLINIC,Federally Qualified Health Center (FQHC),San Diego,CA,92154-4706,"Corporate Entity, Federal Tax Exempt",4,4,1
H80CS00263,"FORT BEND FAMILY HEALTH CENTER, INC",Federally Qualified Health Center (FQHC),Richmond,TX,77469-4498,"Corporate Entity, Federal Tax Exempt",9,9,2
H80CS33661,"GOOD SHEPHERD COMMUNITY CLINIC, INC.",Federally Qualified Health Center (FQHC),Ardmore,OK,73401-5722,"Corporate Entity, Federal Tax Exempt",7,7,1
LALCS40181,CENTERSTONE HEALTH SERVICES INC,Federally Qualified Health Center (FQHC) Look-Alike,BLOOMINGTON,IN,47403,NA,6,6,4
H80CS24165,NORTH COUNTRY FAMILY HEAL,Federally Qualified Health Center (FQHC),Watertown,NY,13601-2504,"Corporate Entity, Federal Tax Exempt",11,11,2
H80CS26590,"EMPOWER ""U"", INC.",Federally Qualified Health Center (FQHC),Miami,FL,33147-4934,"Corporate Entity, Federal Tax Exempt",4,4,1
H80CS33656,"UPSTATE FAMILY HEALTH CENTER, INC",Federally Qualified Health Center (FQHC),Utica,NY,13502-4400,"Corporate Entity, Federal Tax Exempt",1,1,1
H80CS28357,NORTH OLYMPIC HEALTHCARE NETWORK,Federally Qualified Health Center (FQHC),Port Angeles,WA,98362-2609,"Corporate Entity, Federal Tax Exempt",5,5,1
H80CS12873,"SPRINGFIELD MEDICAL CARE SYSTEMS, INC.",Federally Qualified Health Center (FQHC),Springfield,VT,05156-2930,"Corporate Entity, Federal Tax Exempt",11,11,3
H80CS00462,GREEN RIVER MEDICAL CENTER,Federally Qualified Health Center (FQHC),Green River,UT,84525-7784,"Corporate Entity, Federal Tax Exempt",1,1,1
LALCS40185,COMPASSION HEALTH TOLEDO,Federally Qualified Health Center (FQHC) Look-Alike,TOLEDO,OH,43609,NA,2,2,1
H80CS00709,NORTHEASTERN RURAL HEALTH CLINICS,Federally Qualified Health Center (FQHC),Susanville,CA,96130-6100,"Corporate Entity, Federal Tax Exempt",2,2,1
H80CS07928,"SOUTH BOSTON COMMUNITY HEALTH CENTER, INC.",Federally Qualified Health Center (FQHC),South Boston,MA,02127-2249,"Corporate Entity, Federal Tax Exempt",3,3,1
H80CS04210,GREATER SEACOAST COMMUNITY HEALTH,Federally Qualified Health Center (FQHC),Somersworth,NH,03878-6599,"Corporate Entity, Federal Tax Exempt",6,6,2
H80CS26568,SOUTHLAKE COMMUNITY MENTAL HEALTH CENTER INC,Federally Qualified Health Center (FQHC),Merrillville,IN,46410-6199,"Corporate Entity, Federal Tax Exempt",5,5,1
H80CS00562,"COMMUNITY HEALTH CENTERS OF WESTERN KENTUCKY, INC",Federally Qualified Health Center (FQHC),Greenville,KY,42345-1124,"Corporate Entity, Federal Tax Exempt",6,6,3
H80CS06653,YAP STATE DEPARTMENT OF HEALTH SERVICES,Federally Qualified Health Center (FQHC),COLONIA,FM,96943,Foreign Government,7,7,1
H80CS00816,OHIO HILLS HEALTH SERVICES,Federally Qualified Health Center (FQHC),Barnesville,OH,43713-1005,"Corporate Entity, Federal Tax Exempt",10,10,5
H80CS24146,BERKS COMMUNITY HEALTH CENTER,Federally Qualified Health Center (FQHC),Reading,PA,19602-1108,"Corporate Entity, Federal Tax Exempt",5,5,1
H80CS00344,COASTAL HEALTH & WELLNESS,Federally Qualified Health Center (FQHC),Texas City,TX,77591-2001,U.S. Government Entity,5,5,1
H80CS00853,WINTON HILLS MED & HEALTH CENTER,Federally Qualified Health Center (FQHC),Cincinnati,OH,45232-1130,"Corporate Entity, Federal Tax Exempt",8,8,1
H80CS06703,HENNEPIN COUNTY,Federally Qualified Health Center (FQHC),Minneapolis,MN,55411-3600,U.S. Government Entity,10,10,1
H80CS00440,"MORTON COMPREHENSIVE HEALTH SERVICES, INC",Federally Qualified Health Center (FQHC),Tulsa,OK,74106-5907,Other,7,7,2
H80CS26638,ISLAND HEALTH INC.,Federally Qualified Health Center (FQHC),Edgartown,MA,02539-6948,"Corporate Entity, Federal Tax Exempt",2,2,1
H80CS10607,COMPREHENSIVE COMMUNITY HEALTH CENTERS INC,Federally Qualified Health Center (FQHC),Glendale,CA,91205-4433,"Corporate Entity, Federal Tax Exempt",10,10,1
H80CS00429,TENNESSEE DEPARTMENT OF HEALTH,Federally Qualified Health Center (FQHC),Nashville,TN,37243-1219,U.S. Government Entity,2,2,2
H80CS00751,"PROGRESSIVE COMMUNITY HEALTH CENTERS, INC",Federally Qualified Health Center (FQHC),Milwaukee,WI,53208-1953,"Corporate Entity, Federal Tax Exempt",3,3,1
H80CS29009,HARVARD STREET NEIGHBORHOOD HEALTH CENTER INC,Federally Qualified Health Center (FQHC),Dorchester,MA,02121-3293,"Corporate Entity, Federal Tax Exempt",3,3,1
H80CS00575,"REDWOOD COAST MEDICAL SERVICES, INC.",Federally Qualified Health Center (FQHC),Gualala,CA,95445-7548,"Corporate Entity, Federal Tax Exempt",5,5,1
H80CS00401,CORNERSTONE CARE INC,Federally Qualified Health Center (FQHC),Greensboro,PA,15338-9507,"Corporate Entity, Federal Tax Exempt",17,17,4
LALCS35348,"Metropolitan Charities, Inc.",Federally Qualified Health Center (FQHC) Look-Alike,SAINT PETERSBURG,FL,33702,NA,13,13,3
LALCS31615,SOUTHWEST CARE CENTER,Federally Qualified Health Center (FQHC) Look-Alike,SANTA FE,NM,87505,NA,4,4,2
H80CS33648,YEHOWA MEDICAL SERVICES,Federally Qualified Health Center (FQHC),Torrance,CA,90503-3806,"Corporate Entity, Federal Tax Exempt",10,10,2
LALCS54472,"ETHNE HEALTH, INC",Federally Qualified Health Center (FQHC) Look-Alike,Clarkston,GA,30021,NA,2,2,1
H80CS08231,"HOUSTON COMMUNITY HEALTH CENTERS, INC.",Federally Qualified Health Center (FQHC),Houston,TX,77020-3022,"Corporate Entity, Federal Tax Exempt",9,9,1
H80CS30711,ALETHEIA HOUSE INC,Federally Qualified Health Center (FQHC),Birmingham,AL,35204-1047,"Corporate Entity, Federal Tax Exempt",3,3,1
H80CS00789,WESTSIDE FAMILY HEALTHCARE INC,Federally Qualified Health Center (FQHC),Wilmington,DE,19801-5043,"Corporate Entity, Federal Tax Exempt",9,9,2
H80CS33651,"Tulip Tree Health Services of Gibson County, Inc.",Federally Qualified Health Center (FQHC),Fort Branch,IN,47648-1313,"Corporate Entity, Federal Tax Exempt",2,2,1
H80CS00665,NEIGHBORHOOD HEALTH CARE INCORPORATED,Federally Qualified Health Center (FQHC),Cleveland,OH,44113-3398,"Corporate Entity, Federal Tax Exempt",9,9,1
H80CS00568,SUNSHINE COMMUNITY HEALTH CENTER INCORPORATED,Federally Qualified Health Center (FQHC),Talkeetna,AK,99676-9709,"Corporate Entity, Federal Tax Exempt",4,4,1
H80CS00787,"ASIAN PACIFIC HEALTH CARE VENTURE, INC.",Federally Qualified Health Center (FQHC),Los Angeles,CA,90029-2256,"Corporate Entity, Federal Tax Exempt",4,4,1
LALCS54791,"ST. LOUIS COUNTY, MISSOURI",Federally Qualified Health Center (FQHC) Look-Alike,SAINT LOUIS,MO,63105,NA,3,3,1
H80CS08777,CASS COUNTY PUBLIC HEALTH DEPARTMENT,Federally Qualified Health Center (FQHC),Virginia,IL,62691-1571,U.S. Government Entity,2,2,1
H80CS00378,"CHARLES RIVER COMMUNITY HEALTH, INC",Federally Qualified Health Center (FQHC),Brighton,MA,02135-1007,"Corporate Entity, Federal Tax Exempt",3,3,2
LALCS55416,MERIDIAN HEALTHCARE,Federally Qualified Health Center (FQHC) Look-Alike,YOUNGSTOWN,OH,44512,NA,4,4,2
LALCS31468,"WHOLE FAMILY HEALTH CENTER, INC.",Federally Qualified Health Center (FQHC) Look-Alike,VERO BEACH,FL,32960,NA,8,8,2
H80CS11285,HERITAGE HEALTH & HOUSING INC,Federally Qualified Health Center (FQHC),New York,NY,10031-4698,"Corporate Entity, Federal Tax Exempt",2,2,1
H80CS00241,REGENTS OF THE UNIVERSITY OF MINNESOTA,Federally Qualified Health Center (FQHC),Minneapolis,MN,55414-3063,Other,2,2,1
H80CS00053,WAIKIKI HEALTH,Federally Qualified Health Center (FQHC),Honolulu,HI,96815-3695,"Corporate Entity, Federal Tax Exempt",9,9,1
H80CS00649,"PRIMARY HEALTH CARE CENTER OF DADE, INC.",Federally Qualified Health Center (FQHC),Trenton,GA,30752-2012,"Corporate Entity, Federal Tax Exempt",10,10,4
H80CS00450,BLUESTONE HEALTH ASSOCIATION INC,Federally Qualified Health Center (FQHC),Princeton,WV,24740-7660,"Corporate Entity, Federal Tax Exempt",12,12,2
H80CS00266,"RAPHAEL HEALTH CENTER, INC.",Federally Qualified Health Center (FQHC),Indianapolis,IN,46205-3754,"Corporate Entity, Federal Tax Exempt",2,2,1
H80CS28350,"ERIE, COUNTY OF",Federally Qualified Health Center (FQHC),Sandusky,OH,44870-1849,U.S. Government Entity,10,10,3
H80CS29017,"COMMUNITY HEALTH PROJECT, INC.",Federally Qualified Health Center (FQHC),New York,NY,10011-4462,"Corporate Entity, Federal Tax Exempt",4,4,3
H80CS28970,APPALACHIAN DISTRICT HEALTH DEPARTMENT,Federally Qualified Health Center (FQHC),Sparta,NC,28675-3000,U.S. Government Entity,6,6,2
H80CS26581,JEFFERSON PAR HUMAN SERVICES AUTHORITY,Federally Qualified Health Center (FQHC),Metairie,LA,70001-1819,"Corporate Entity, Federal Tax Exempt",2,2,1
H80CS03972,"PIEDMONT ACCESS TO HEALTH SERVICES, INC.",Federally Qualified Health Center (FQHC),Danville,VA,24541-1803,"Corporate Entity, Federal Tax Exempt",12,12,5
H80CS22689,MARIN CITY HEALTH AND WELLNESS CENTER,Federally Qualified Health Center (FQHC),San Rafael,CA,94903-3437,"Corporate Entity, Federal Tax Exempt",7,7,2
H80CS19533,EAST JORDAN FAMILY HEALTH CENTER,Federally Qualified Health Center (FQHC),East Jordan,MI,49727-9421,"Corporate Entity, Federal Tax Exempt",2,2,2
LALCS54729,NOALAB CLINIC INC,Federally Qualified Health Center (FQHC) Look-Alike,NORTH HOLLYWOOD,CA,91606,NA,1,1,1
H80CS00594,CHRISTIAN COMMUNITY HEALTH CENTER,Federally Qualified Health Center (FQHC),Chicago,IL,60628-1007,"Corporate Entity, Federal Tax Exempt",6,6,1
H80CS08244,"LA CLINICA DEL PUEBLO, INC",Federally Qualified Health Center (FQHC),Washington,DC,20009-4607,"Corporate Entity, Federal Tax Exempt",7,7,2
H80CS06651,"La Red Health Center, Inc.",Federally Qualified Health Center (FQHC),Georgetown,DE,19947-4572,"Corporate Entity, Federal Tax Exempt",4,4,1
H80CS04196,CHEYENNE HEALTH AND WELLNESS CENTER,Federally Qualified Health Center (FQHC),Cheyenne,WY,82007-2559,"Corporate Entity, Federal Tax Exempt",6,6,1
H80CS06669,"UNITED COMMUNITY HEALTH CENTER, INC.",Federally Qualified Health Center (FQHC),Storm Lake,IA,50588-1564,"Corporate Entity, Federal Tax Exempt",1,1,1
H80CS10592,"HARRISONBURG COMMUNITY HEALTH CENTER, INC.",Federally Qualified Health Center (FQHC),Harrisonburg,VA,22801-7372,"Corporate Entity, Federal Tax Exempt",5,5,2
H80CS06450,TENSAS COMMUNITY HEALTH CENTER,Federally Qualified Health Center (FQHC),Saint Joseph,LA,71366-6661,"Corporate Entity, Federal Tax Exempt",5,5,2
H80CS24176,"OLATHE COMMUNITY CLINIC, INC.",Federally Qualified Health Center (FQHC),Olathe,CO,81425-5066,"Corporate Entity, Federal Tax Exempt",3,3,2
H80CS00300,HEALTHCARE FOR THE HOMELESS-HOUSTON,Federally Qualified Health Center (FQHC),Houston,TX,77002-8210,"Corporate Entity, Federal Tax Exempt",3,3,1
H80CS33645,TERROS INC,Federally Qualified Health Center (FQHC),Phoenix,AZ,85012-2772,"Corporate Entity, Federal Tax Exempt",15,15,1
LALCS54732,CITRUS COUNTY RURAL HEALTH INC,Federally Qualified Health Center (FQHC) Look-Alike,CRYSTAL RIVER,FL,34428,NA,7,7,2
H80CS19534,"Alliance Community Healthcare, Inc.",Federally Qualified Health Center (FQHC),Jersey City,NJ,07306-4103,"Corporate Entity, Federal Tax Exempt",2,2,1
H80CS00606,LA FAMILIA MEDICAL CENTER,Federally Qualified Health Center (FQHC),Santa Fe,NM,87501-2406,"Corporate Entity, Federal Tax Exempt",8,8,1
H80CS24158,NEIGHBORHOOD HEALTH CENTERS OF LEHIGH VALLEY,Federally Qualified Health Center (FQHC),Allentown,PA,18102-3508,"Corporate Entity, Federal Tax Exempt",6,6,2
H80CS08232,Municipality of Skagway,Federally Qualified Health Center (FQHC),Skagway,AK,99840,U.S. Government Entity,1,1,1
LALCS33895,"LOGAN-MINGO AREA MENTAL HEALTH, INC",Federally Qualified Health Center (FQHC) Look-Alike,LOGAN,WV,25601,NA,3,3,2
H80CS00271,"DUFFY HEALTH CENTER, INC.",Federally Qualified Health Center (FQHC),Hyannis,MA,02601-3146,"Corporate Entity, Federal Tax Exempt",4,4,1
H80CS12853,Texas Tech University Health Sciences Center,Federally Qualified Health Center (FQHC),Lubbock,TX,79430-0002,U.S. Government Entity,3,3,2
H80CS33654,"INSTITUTE FOR POPULATION HEALTH, INC.",Federally Qualified Health Center (FQHC),Detroit,MI,48207-3110,"Corporate Entity, Federal Tax Exempt",4,4,1
H80CS24112,"MCCLOUD HEALTHCARE CLINIC, INC",Federally Qualified Health Center (FQHC),Mccloud,CA,96057-8163,"Corporate Entity, Federal Tax Exempt",4,4,1
H80CS47461,"SEWARD COMMUNITY HEALTH CENTER, INC.",Federally Qualified Health Center (FQHC),Seward,AK,99664-4303,"Corporate Entity, Federal Tax Exempt",2,2,1
H80CS00301,THE RURAL ALLIANCE FOR BETTER FAMILY HEALTH,Federally Qualified Health Center (FQHC),West Plains,MO,65775,"Corporate Entity, Federal Tax Exempt",4,4,2
H80CS26595,"PENNYROYAL HEALTHCARE SERVICES, INC",Federally Qualified Health Center (FQHC),Princeton,KY,42445-1553,"Corporate Entity, Federal Tax Exempt",5,5,2
H80CS00612,"COMMUNITY HEALTH SERVICES, INCORPORATED",Federally Qualified Health Center (FQHC),Hartford,CT,06120-2599,"Corporate Entity, Federal Tax Exempt",2,2,1
LALCS39531,HAMILTON CENTER INC,Federally Qualified Health Center (FQHC) Look-Alike,TERRE HAUTE,IN,47804,NA,3,3,2
H80CS00303,"FENWAY COMMUNITY HEALTH CENTER, INC.",Federally Qualified Health Center (FQHC),Boston,MA,02215-4302,"Corporate Entity, Federal Tax Exempt",1,1,1
H80CS00130,COMMUNITY HEALTH DEVELOPMENT INC,Federally Qualified Health Center (FQHC),Uvalde,TX,78801-6051,"Corporate Entity, Federal Tax Exempt",8,8,2
H80CS00235,BETANCES HEALTH CENTER,Federally Qualified Health Center (FQHC),New York,NY,10002-5808,"Corporate Entity, Federal Tax Exempt",2,2,2
LALCS32713,GRAND PRAIRIE SERVICES,Federally Qualified Health Center (FQHC) Look-Alike,TINLEY PARK,IL,60477,NA,1,1,1
H80CS00162,"CENTRO DE SERVICIOS PRIMARIOS DE SALUD, INC",Federally Qualified Health Center (FQHC),Florida,PR,00650,"Corporate Entity, Federal Tax Exempt",1,1,1
H80CS00356,COSTA SALUD COMMUNITY HEALTH CENTERS INC,Federally Qualified Health Center (FQHC),Rincon,PR,00677-2127,"Corporate Entity, Federal Tax Exempt",7,7,3
H80CS04207,COLUMBIA RIVER HEALTH,Federally Qualified Health Center (FQHC),Boardman,OR,97818-8076,"Corporate Entity, Federal Tax Exempt",2,2,1
H80CS12886,"Lower Lights Christian Health Center, INC.",Federally Qualified Health Center (FQHC),Columbus,OH,43222-1352,"Corporate Entity, Federal Tax Exempt",9,9,3
H80CS00740,EASTERN ALEUTIAN TRIBES INC,Federally Qualified Health Center (FQHC),Anchorage,AK,99503-3949,Other,8,8,4
H80CS00555,COUNTY OF TILLAMOOK,Federally Qualified Health Center (FQHC),Tillamook,OR,97141-2311,U.S. Government Entity,6,6,1
H80CS28994,SAN FERNANDO COMMUNITY HOSPITAL,Federally Qualified Health Center (FQHC),San Fernando,CA,91340-4240,"Corporate Entity, Federal Tax Exempt",4,4,1
LALCS49106,CROSSROADS HEALTH,Federally Qualified Health Center (FQHC) Look-Alike,Mentor,OH,44060,NA,1,1,1
H80CS24197,HEALTH SERVICES OF NORTH TEXAS INC,Federally Qualified Health Center (FQHC),Denton,TX,76207-3318,"Corporate Entity, Federal Tax Exempt",7,7,2
LALCS31106,COMMUNITY ACCESS NETWORK INC,Federally Qualified Health Center (FQHC) Look-Alike,LYNCHBURG,VA,24504,NA,5,5,2
H80CS12859,HEART OF FLORIDA HEALTH CENTER,Federally Qualified Health Center (FQHC),Ocala,FL,34470-7009,"Corporate Entity, Federal Tax Exempt",13,13,2
H80CS00430,"The Joseph P. Addabbo Family Health Center, Inc.",Federally Qualified Health Center (FQHC),Arverne,NY,11692-1409,"Corporate Entity, Federal Tax Exempt",5,5,2
H80CS02450,HEALTH ACCESS NETWORK,Federally Qualified Health Center (FQHC),Lincoln,ME,04457-4000,"Corporate Entity, Federal Tax Exempt",9,9,1
H80CS00060,"East Harlem Council for Human Services, Inc.",Federally Qualified Health Center (FQHC),New York,NY,10035-2231,"Corporate Entity, Federal Tax Exempt",4,4,1
H80CS29024,CITY OF PHILADELPHIA,Federally Qualified Health Center (FQHC),Philadelphia,PA,19107-2934,U.S. Government Entity,5,5,1
H80CS00033,"DETROIT HEALTH CARE FOR THE HOMELESS, INC",Federally Qualified Health Center (FQHC),Detroit,MI,48207-5402,"Corporate Entity, Federal Tax Exempt",6,6,2
LALCS54730,SANTO NINO HEALTH CENTER,Federally Qualified Health Center (FQHC) Look-Alike,PANORAMA CITY,CA,91402,NA,5,5,1
H80CS00171,"NEIGHBORHOOD HEALTH CARE OF WNY, INC.",Federally Qualified Health Center (FQHC),Buffalo,NY,14207-1899,"Corporate Entity, Federal Tax Exempt",7,7,1
H80CS00354,HOSPITAL GENERAL DE CASTANER INC,Federally Qualified Health Center (FQHC),Bartolo,PR,00631,"Corporate Entity, Federal Tax Exempt",4,4,3
H80CS00489,CAMUY HEALTH SERVICES,Federally Qualified Health Center (FQHC),Camuy,PR,00627,"Corporate Entity, Federal Tax Exempt",4,4,1
H80CS00410,BROOKLYN PLAZA MEDICAL CENTER,Federally Qualified Health Center (FQHC),Brooklyn,NY,11217-1517,"Corporate Entity, Federal Tax Exempt",3,3,1
LALCS00028,UNIVERSAL MEDICAL SERVICES INC,Federally Qualified Health Center (FQHC) Look-Alike,Minneapolis,MN,55403,NA,3,3,1
H80CS00510,Bedford Stuyvesant Family Health Center Inc,Federally Qualified Health Center (FQHC),Brooklyn,NY,11216-2505,"Corporate Entity, Federal Tax Exempt",3,3,1
H80CS00483,"PERSON FAMILY MEDICAL CENTER, INCORPORATED",Federally Qualified Health Center (FQHC),Roxboro,NC,27573-4755,"Corporate Entity, Federal Tax Exempt",5,5,2
H80CS26893,"Gateway Community Health Centers, Inc.",Federally Qualified Health Center (FQHC),Gatesville,NC,27938-9424,Other,5,5,3
H80CS06447,SPRING BRANCH COMMUNITY HEALTH CENTER,Federally Qualified Health Center (FQHC),Katy,TX,77493-2472,"Corporate Entity, Federal Tax Exempt",9,9,1
H80CS00653,RURAL HEALTH SERVICES INC,Federally Qualified Health Center (FQHC),Aiken,SC,29801-4193,"Corporate Entity, Federal Tax Exempt",7,7,1
H80CS00233,"KLAMATH HEALTH PARTNERSHIP, INC.",Federally Qualified Health Center (FQHC),Klamath Falls,OR,97601-3372,"Corporate Entity, Federal Tax Exempt",6,6,1
H80CS26603,The NATIVE Project,Federally Qualified Health Center (FQHC),Spokane,WA,99201-2831,"Corporate Entity, Federal Tax Exempt",2,2,1
LALCS33109,THE WRIGHT CENTER MEDICAL GROUP,Federally Qualified Health Center (FQHC) Look-Alike,SCRANTON,PA,18505,NA,16,16,4
LALCS00013,"METRO FAMILY PRACTICE, INC",Federally Qualified Health Center (FQHC) Look-Alike,PITTSBURGH,PA,15218,NA,3,3,1
H80CS10583,EAST CENTRAL OKLAHOMA FAM,Federally Qualified Health Center (FQHC),Wetumka,OK,74883-4505,"Corporate Entity, Federal Tax Exempt",5,5,3
H80CS04430,WINTERS HEALTHCARE FOUNDATION INC,Federally Qualified Health Center (FQHC),Winters,CA,95694-1780,"Corporate Entity, Federal Tax Exempt",1,1,1
H80CS00687,"QUALITY COMMUNITY HEALTH CARE, INC.",Federally Qualified Health Center (FQHC),Philadelphia,PA,19132-3207,"Corporate Entity, Federal Tax Exempt",3,3,1
H80CS02520,"NORTHEAST FLORIDA HEALTH SERVICES, INC.",Federally Qualified Health Center (FQHC),Deland,FL,32720-7466,"Corporate Entity, Federal Tax Exempt",4,4,1
H80CS17251,"UPPER ROOM AIDS MINISTRY, INC ADULT DAY HEALTH CARE CENTER",Federally Qualified Health Center (FQHC),New York,NY,10027-4920,"Corporate Entity, Federal Tax Exempt",4,4,1
H80CS19595,FAIRFIELD COMMUNITY HEALTH CENTER,Federally Qualified Health Center (FQHC),Lancaster,OH,43130-4464,"Corporate Entity, Federal Tax Exempt",2,2,1
H80CS00157,"COMMUNITY HEALTH CENTER OF BUFFALO, INC",Federally Qualified Health Center (FQHC),Buffalo,NY,14214-1761,"Corporate Entity, Federal Tax Exempt",6,6,2
H80CS01445,KODIAK ISLAND HEALTH CARE FOUNDATION,Federally Qualified Health Center (FQHC),Kodiak,AK,99615-6602,"Corporate Entity, Federal Tax Exempt",3,3,1
LALCS54792,"PREMIUM HEALTH, INC",Federally Qualified Health Center (FQHC) Look-Alike,BROOKLYN,NY,11230,NA,13,13,2
LALCS31626,HIS BRANCHES INC,Federally Qualified Health Center (FQHC) Look-Alike,ROCHESTER,NY,14619,NA,2,2,1
LALCS49124,EAST TEXAS COMMUNITY CLINIC INC,Federally Qualified Health Center (FQHC) Look-Alike,MABANK,TX,75156,NA,4,4,2
H80CS22680,"HEALTHCARE CHOICES NY, INC.",Federally Qualified Health Center (FQHC),Brooklyn,NY,11204-2702,"Corporate Entity, Federal Tax Exempt",3,3,2
H80CS26612,ALL-INCLUSIVE COMMUNITY HEALTH CENTER,Federally Qualified Health Center (FQHC),Burbank,CA,91504-4236,"Corporate Entity, Federal Tax Exempt",5,5,1
H80CS00554,"AMMONOOSUC COMMUNITY HEALTH SERVICES, INC.",Federally Qualified Health Center (FQHC),Littleton,NH,03561-3772,"Corporate Entity, Federal Tax Exempt",5,5,2
LALCS55415,Detroit Wayne County Health Authority,Federally Qualified Health Center (FQHC) Look-Alike,Detroit,MI,48202,NA,3,3,2
LALCS00040,EL PUEBLO HEALTH SERVICES INC,Federally Qualified Health Center (FQHC) Look-Alike,BERNALILLO,NM,87004,NA,3,3,1
H80CS24172,"CHRIST COMMUNITY HEALTH SERVICES AUGUSTA, INC",Federally Qualified Health Center (FQHC),Augusta,GA,30901-2788,"Corporate Entity, Federal Tax Exempt",5,5,1
H80CS00661,COMMUNITY & RURAL HEALTH SERVICES,Federally Qualified Health Center (FQHC),Fremont,OH,43420-2632,"Corporate Entity, Federal Tax Exempt",7,7,5
H80CS00850,WATTS HEALTHCARE CORP,Federally Qualified Health Center (FQHC),Los Angeles,CA,90002-3628,"Corporate Entity, Federal Tax Exempt",3,3,1
H80CS08788,CHAMBERS COUNTY PUBLIC HOSPITAL DISTRICT #1,Federally Qualified Health Center (FQHC),Anahuac,TX,77514,U.S. Government Entity,7,7,2
H80CS00660,Community Health Service Inc.,Federally Qualified Health Center (FQHC),Moorhead,MN,56560-2473,"Corporate Entity, Federal Tax Exempt",6,6,4
H80CS24140,"SOUTHERN TIER COMMUNITY HEALTH CENTER NETWORK, INC.",Federally Qualified Health Center (FQHC),Olean,NY,14760-2736,"Corporate Entity, Federal Tax Exempt",7,7,3
H80CS24141,"MOUNTAIN COMMUNITY HEALTH PARTNERSHIP, INCORPORATED",Federally Qualified Health Center (FQHC),Bakersville,NC,28705-6502,"Corporate Entity, Federal Tax Exempt",7,7,2
H80CS24144,SHORTGRASS COMMUNITY HEALTH CENTER INC,Federally Qualified Health Center (FQHC),Hollis,OK,73550-1436,"Corporate Entity, Federal Tax Exempt",4,4,2
LALCS33816,"PENINSULA HEALTHCARE CONNECTION, INC.",Federally Qualified Health Center (FQHC) Look-Alike,SAN JOSE,CA,95126,NA,1,1,1
H80CS25709,GENESEE HEALTH SYSTEM,Federally Qualified Health Center (FQHC),Flint,MI,48507-5516,U.S. Government Entity,5,5,1
LALCS33965,CASCADE AIDS PROJECT,Federally Qualified Health Center (FQHC) Look-Alike,PORTLAND,OR,97209,NA,3,3,1
LALCS00076,COUNTY OF STANISLAUS,Federally Qualified Health Center (FQHC) Look-Alike,MODESTO,CA,95355,NA,3,3,1
H80CS24135,COUNTY OF WAYNE,Federally Qualified Health Center (FQHC),Detroit,MI,48226-3480,U.S. Government Entity,2,2,1
LALCS32518,SOUTHWEST GEORGIA HEALTHCARE CLINICS INC,Federally Qualified Health Center (FQHC) Look-Alike,DONALSONVILLE,GA,39845,NA,3,3,1
H80CS00676,COMMUNITY HEALTH SYSTEMS INC,Federally Qualified Health Center (FQHC),Beloit,WI,53511-3550,"Corporate Entity, Federal Tax Exempt",2,2,1
H80CS26515,PAIUTE INDIAN TRIBE OF UTAH,Federally Qualified Health Center (FQHC),Cedar City,UT,84721-6181,Other,3,3,3
